OrderDate,OrderID,Product_name,PRODUCTLINE,Quantity,UnitPrice,Product_sold,SALES,Region,CustomerSegment
2025-01-02,ORD001,Smartwatch X,Electronics,2,129.99,2,259.98,West,Retail
2025-01-04,ORD002,Bluetooth Speaker Z,Electronics,1,89.50,1,89.50,East,Wholesale
2025-01-06,ORD003,Air Purifier Pro,Home Appliances,3,199.00,3,597.00,North,Retail
2025-01-09,ORD004,Thermometer A,Healthcare,5,19.99,5,99.95,South,Retail
2025-01-11,ORD005,Running Shoes R,Sports,4,59.99,4,239.96,West,Retail
2025-01-14,ORD006,Smartwatch X,Electronics,1,129.99,1,129.99,East,Retail
2025-01-17,ORD007,LED Lamp L,Home Appliances,6,24.50,6,147.00,North,Wholesale
2025-01-20,ORD008,Denim Jacket D,Clothing,2,79.00,2,158.00,South,Retail
2025-01-22,ORD009,Smartphone S,Electronics,1,699.00,1,699.00,West,Retail
2025-01-25,ORD010,Coffee Maker C,Home Appliances,2,129.00,2,258.00,East,Retail
2025-02-01,ORD011,Yoga Mat Y,Sports,10,15.00,10,150.00,North,Retail
2025-02-03,ORD012,Office Chair O,Furniture,1,249.99,1,249.99,South,Wholesale
2025-02-05,ORD013,Smartphone S,Electronics,2,699.00,2,1398.00,West,Retail
2025-02-07,ORD014,Blender B,Home Appliances,3,49.99,3,149.97,East,Retail
2025-02-10,ORD015,Running Shoes R,Sports,6,59.99,6,359.94,North,Wholesale
2025-02-12,ORD016,Denim Jacket D,Clothing,5,79.00,5,395.00,South,Retail
2025-02-14,ORD017,Smartwatch X,Electronics,3,129.99,3,389.97,West,Retail
2025-02-16,ORD018,Air Purifier Pro,Home Appliances,1,199.00,1,199.00,East,Retail
2025-02-18,ORD019,Office Chair O,Furniture,2,249.99,2,499.98,North,Retail
2025-02-21,ORD020,Thermometer A,Healthcare,10,19.99,10,199.90,South,Wholesale
2025-03-01,ORD021,Smartphone S,Electronics,1,699.00,1,699.00,West,Retail
2025-03-03,ORD022,Bluetooth Speaker Z,Electronics,4,89.50,4,358.00,East,Retail
2025-03-05,ORD023,Coffee Maker C,Home Appliances,1,129.00,1,129.00,North,Retail
2025-03-07,ORD024,Holiday Gift Pack,Misc,20,29.99,20,599.80,South,Retail
2025-03-10,ORD025,Denim Jacket D,Clothing,3,79.00,3,237.00,West,Wholesale
2025-03-12,ORD026,Smartwatch X,Electronics,4,129.99,4,519.96,East,Retail
2025-03-14,ORD027,Running Shoes R,Sports,2,59.99,2,119.98,North,Retail
2025-03-16,ORD028,Office Chair O,Furniture,1,249.99,1,249.99,South,Retail
2025-03-18,ORD029,Blender B,Home Appliances,2,49.99,2,99.98,West,Retail
2025-03-20,ORD030,Smartphone S,Electronics,3,699.00,3,2097.00,East,Wholesale
2025-04-02,ORD031,Air Purifier Pro,Home Appliances,2,199.00,2,398.00,North,Retail
2025-04-04,ORD032,Thermometer A,Healthcare,7,19.99,7,139.93,South,Retail
2025-04-06,ORD033,Running Shoes R,Sports,5,59.99,5,299.95,West,Retail
2025-04-08,ORD034,Smartwatch X,Electronics,2,129.99,2,259.98,East,Retail
2025-04-10,ORD035,LED Lamp L,Home Appliances,3,24.50,3,73.50,North,Wholesale
2025-04-12,ORD036,Coffee Maker C,Home Appliances,4,129.00,4,516.00,South,Retail
2025-04-14,ORD037,Office Chair O,Furniture,1,249.99,1,249.99,West,Retail
2025-04-16,ORD038,Denim Jacket D,Clothing,2,79.00,2,158.00,East,Retail
2025-04-18,ORD039,Bluetooth Speaker Z,Electronics,3,89.50,3,268.50,North,Retail
2025-04-20,ORD040,Smartphone S,Electronics,1,699.00,1,699.00,South,Retail
2025-05-01,ORD041,Smartwatch X,Electronics,2,129.99,2,259.98,West,Retail
2025-05-03,ORD042,Air Purifier Pro,Home Appliances,1,199.00,1,199.00,East,Retail
2025-05-05,ORD043,Running Shoes R,Sports,8,59.99,8,479.92,North,Wholesale
2025-05-07,ORD044,Office Chair O,Furniture,1,249.99,1,249.99,South,Retail
2025-05-09,ORD045,Blender B,Home Appliances,4,49.99,4,199.96,West,Retail
2025-05-11,ORD046,Smartphone S,Electronics,2,699.00,2,1398.00,East,Wholesale
2025-05-13,ORD047,LED Lamp L,Home Appliances,5,24.50,5,122.50,North,Retail
2025-05-15,ORD048,Thermometer A,Healthcare,11,19.99,11,219.89,South,Retail
2025-05-17,ORD049,Denim Jacket D,Clothing,3,79.00,3,237.00,West,Retail
2025-05-19,ORD050,Smartwatch X,Electronics,5,129.99,5,649.95,East,Retail
2025-06-01,ORD051,Air Purifier Pro,Home Appliances,2,199.00,2,398.00,North,Retail
2025-06-03,ORD052,Bluetooth Speaker Z,Electronics,1,89.50,1,89.50,South,Retail
2025-06-05,ORD053,Running Shoes R,Sports,7,59.99,7,419.93,West,Wholesale
2025-06-07,ORD054,Smartphone S,Electronics,1,699.00,1,699.00,East,Retail
2025-06-09,ORD055,LED Lamp L,Home Appliances,3,24.50,3,73.50,North,Retail
2025-06-11,ORD056,Coffee Maker C,Home Appliances,2,129.00,2,258.00,South,Retail
2025-06-13,ORD057,Thermometer A,Healthcare,6,19.99,6,119.94,West,Retail
2025-06-15,ORD058,Smartwatch X,Electronics,3,129.99,3,389.97,East,Retail
2025-06-17,ORD059,Denim Jacket D,Clothing,4,79.00,4,316.00,North,Retail
2025-06-19,ORD060,Office Chair O,Furniture,2,249.99,2,499.98,South,Wholesale
2025-07-01,ORD061,Smartphone S,Electronics,1,699.00,1,699.00,West,Retail
2025-07-03,ORD062,Blender B,Home Appliances,3,49.99,3,149.97,East,Retail
2025-07-05,ORD063,Running Shoes R,Sports,6,59.99,6,359.94,North,Retail
2025-07-07,ORD064,Smartwatch X,Electronics,2,129.99,2,259.98,South,Retail
2025-07-09,ORD065,Air Purifier Pro,Home Appliances,2,199.00,2,398.00,West,Retail
2025-07-11,ORD066,Bluetooth Speaker Z,Electronics,5,89.50,5,447.50,East,Retail
2025-07-13,ORD067,LED Lamp L,Home Appliances,3,24.50,3,73.50,North,Retail
2025-07-15,ORD068,Office Chair O,Furniture,1,249.99,1,249.99,South,Retail
2025-07-17,ORD069,Running Shoes R,Sports,4,59.99,4,239.96,West,Retail
2025-07-19,ORD070,Denim Jacket D,Clothing,3,79.00,3,237.00,East,Retail
2025-07-21,ORD071,Smartphone S,Electronics,2,699.00,2,1398.00,North,Wholesale
2025-07-23,ORD072,Holiday Gift Pack,Misc,20,29.99,20,599.80,South,Retail
2025-08-01,ORD073,Smartwatch X,Electronics,3,129.99,3,389.97,West,Retail
2025-08-03,ORD074,Air Purifier Pro,Home Appliances,1,199.00,1,199.00,East,Retail
2025-08-05,ORD075,Running Shoes R,Sports,8,59.99,8,479.92,North,Retail
2025-08-07,ORD076,Office Chair O,Furniture,1,249.99,1,249.99,South,Retail
2025-08-09,ORD077,Blender B,Home Appliances,4,49.99,4,199.96,West,Retail
2025-08-11,ORD078,Smartphone S,Electronics,2,699.00,2,1398.00,East,Retail
2025-08-13,ORD079,LED Lamp L,Home Appliances,5,24.50,5,122.50,North,Wholesale
2025-08-15,ORD080,Thermometer A,Healthcare,9,19.99,9,179.91,South,Retail
2025-08-17,ORD081,Denim Jacket D,Clothing,3,79.00,3,237.00,West,Retail
2025-08-19,ORD082,Smartwatch X,Electronics,5,129.99,5,649.95,East,Retail
2025-08-21,ORD083,Air Purifier Pro,Home Appliances,2,199.00,2,398.00,North,Retail
2025-08-23,ORD084,Bluetooth Speaker Z,Electronics,3,89.50,3,268.50,South,Retail
2025-08-25,ORD085,Running Shoes R,Sports,6,59.99,6,359.94,West,Wholesale
2025-08-27,ORD086,Smartphone S,Electronics,1,699.00,1,699.00,East,Retail
2025-08-29,ORD087,Office Chair O,Furniture,2,249.99,2,499.98,North,Retail
2025-08-31,ORD088,LED Lamp L,Home Appliances,4,24.50,4,98.00,South,Retail
2025-09-02,ORD089,Blender B,Home Appliances,3,49.99,3,149.97,West,Retail
2025-09-04,ORD090,Smartwatch X,Electronics,2,129.99,2,259.98,East,Retail
2025-09-06,ORD091,Running Shoes R,Sports,5,59.99,5,299.95,North,Retail
2025-09-08,ORD092,Thermometer A,Healthcare,8,19.99,8,159.92,South,Retail
2025-09-10,ORD093,Denim Jacket D,Clothing,2,79.00,2,158.00,West,Retail
2025-09-12,ORD094,Smartphone S,Electronics,3,699.00,3,2097.00,East,Wholesale
2025-09-14,ORD095,Office Chair O,Furniture,1,249.99,1,249.99,North,Retail
2025-09-16,ORD096,Bluetooth Speaker Z,Electronics,4,89.50,4,358.00,South,Retail
